Threshold,Accuracy,Precision,Recall,F1,Fraud_Precision,Fraud_Recall,Fraud_F1
0.25,0.5886399166232412,0.5677617754437301,0.5906686587654866,0.5491407725799621,0.31952662721893493,0.5946632782719187,0.4156920799407846
0.26,0.6157373632100052,0.5673611616760437,0.587098203375584,0.5604847811642083,0.3269832985386221,0.5307073274036426,0.4046504117552075
0.27,0.6447107868681605,0.5718369896756481,0.5871970354590546,0.5722999371277663,0.34053560559951307,0.47395171537484115,0.39631662829821146
0.28,0.6654507556018759,0.5727831573065383,0.5812649148328572,0.5751795255619309,0.3489861259338314,0.4155019059720457,0.37935034802784223
0.29,0.687441375716519,0.5809810106347244,0.582011132192947,0.5814756896939937,0.36741479634247715,0.37441761965268955,0.37088315502412417
0.3,0.7048462741010943,0.5873241303189187,0.5784322456300469,0.5816389837190938,0.38381845091267885,0.32952138924184665,0.35460346399270737
0.31,0.7197498697238145,0.5978898055751021,0.5786154772682109,0.5836395204356764,0.4061784897025172,0.30072003388394747,0.34558286687758577
0.32,0.7289213131839499,0.6031707712752699,0.5734279931571663,0.5784942866276245,0.4201065246338216,0.2672596357475646,0.3266891017344033
0.33,0.7397602918186555,0.615936535693113,0.5723421868846781,0.5769830675213785,0.4469578783151326,0.24269377382465057,0.31457589898435356
0.34,0.7468473163105784,0.626013512141845,0.5690534439175352,0.5720686384405328,0.4691470054446461,0.2189750105887336,0.29858504187120993
0.35,0.7540385617509119,0.6412918726973047,0.5682589815119599,0.5698141865988386,0.5005235602094241,0.2024565861922914,0.2882991556091677
0.36,0.7606044815007816,0.6600242038562998,0.5689043468200484,0.5693752396040632,0.5380952380952381,0.19144430326132994,0.28241174632927213
0.37,0.7638353309015112,0.6721113870419433,0.5667673079393429,0.5652311193229991,0.5634178905206942,0.17873782295637441,0.27138263665594853
0.38,0.7660239708181344,0.6831297637725557,0.5639390885222811,0.5599583131680352,0.5868263473053892,0.1660313426514189,0.2588312974579069
0.39,0.7686294945284002,0.6990321864276862,0.5618153111741029,0.5553790598647408,0.6196943972835314,0.15459551037695893,0.24745762711864408
0.4,0.7708181344450235,0.7137655536502343,0.5614122542649733,0.5537460469720699,0.6494464944649446,0.1490893689114782,0.24250775060282467
0.41,0.7725898905680042,0.7285316014614982,0.5607327251413012,0.5517219155614747,0.6793587174348698,0.14358322744599747,0.23706293706293707
0.42,0.7742574257425743,0.7431934026090041,0.5606973610545617,0.5508538949133008,0.708779443254818,0.1401948326980093,0.2340876944837341
0.43,0.7759249609171444,0.7616250031152934,0.5602340271134814,0.5491465600139872,0.745920745920746,0.1355357899195256,0.22939068100358423
0.44,0.7768629494528401,0.773396498035374,0.56000014988752,0.5482074246770089,0.7696078431372549,0.1329944938585345,0.22679667750090285
0.45,0.7774882751433038,0.7819457386280568,0.559844231736879,0.5475698414863149,0.7868020304568528,0.13130029648454045,0.2250453720508167
0.46,0.7774882751433038,0.7870184481823115,0.5588456354100835,0.5456460350654557,0.7973684210526316,0.12833545108005082,0.2210871944545786
0.47,0.7781136008337676,0.8001783270221836,0.558119090786988,0.5438670290795402,0.8240223463687151,0.12494705633206268,0.21699154100772342
0.48,0.7779051589369463,0.8022792242911226,0.5572675715891485,0.542313547557672,0.8285714285714286,0.1228293096145701,0.21394319439321283
0.49,0.7789473684210526,0.8155994855644186,0.557816095507391,0.5427688908153816,0.8550295857988166,0.12240576027107158,0.21415339014449797
0.5,0.7789473684210526,0.8197836432321052,0.5572454690349363,0.541631961343828,0.8636363636363636,0.1207115628970775,0.21181716833890746
0.51,0.7790515893694633,0.8233026304870965,0.5570292738523447,0.5411342776985132,0.8707692307692307,0.11986446421008047,0.21072226358897989
0.52,0.7792600312662845,0.8283215795371749,0.5568821967233886,0.540707802598154,0.8808777429467085,0.11901736552308344,0.20970149253731343
0.53,0.7793642522146952,0.8309030463507499,0.5568086581589106,0.5404936842303143,0.8860759493670886,0.11859381617958492,0.20918939110945087
0.54,0.7793642522146952,0.8321028784922556,0.5566660015407968,0.5402058168586473,0.8885350318471338,0.1181702668360864,0.2085981308411215
0.55,0.7795726941115164,0.8349749127851573,0.5568042376480681,0.5403521603800104,0.8942307692307693,0.1181702668360864,0.20875420875420875
0.56,0.7795726941115164,0.8362169298382753,0.5566615810299544,0.5400636762645531,0.896774193548387,0.11774671749258789,0.20816173717708725
0.57,0.7792600312662845,0.8355873011864983,0.5560262570147066,0.5389771068950454,0.8957654723127035,0.11647606946209234,0.20614692653673164
0.58,0.7792600312662845,0.8368552471368826,0.555883600396593,0.538687095521157,0.898360655737705,0.11605252011859382,0.20555138784696175
0.59,0.7792600312662845,0.8394429085460058,0.5555982871603657,0.5381057248296813,0.9036544850498339,0.11520542143159677,0.20435762584522915
0.6,0.7793642522146952,0.8422961365180224,0.5555247485958876,0.5378868002084543,0.9093959731543624,0.11478187208809826,0.20383602858217376
